Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total jobs in block
2018,1101,Docklands,565,38,0,6,0,0,2092,,19,765,,0,209,0,,54,878,632,0,6970
2018,1107,Docklands,,0,0,5,0,,,0,0,0,0,0,0,0,,0,0,0,0,126
2018,1109,Docklands,437,170,,3,37,27,,58,52,45,,0,108,433,11,142,60,118,48,1758
2018,1110,Docklands,203,,0,246,62,,,,39,,,0,25,,0,21,610,0,0,2118
2018,1111,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,253
2018,2390,North Melbourne,8,,0,,,,0,0,0,,39,0,,60,0,,,,36,225
2018,2501,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2018,2504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2512,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2018,2514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2515,Kensington,0,,0,,0,0,0,0,0,0,0,0,,,,0,0,0,0,22
2018,2519,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2523,Kensington,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,30
2018,2529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2531,Kensington,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,146
2018,2532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,
2018,2534,Kensington,0,0,0,0,,0,0,0,,0,0,0,0,,0,,0,,,48
2018,2536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2537,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,2541,Kensington,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,19
2018,2543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,11,Melbourne (CBD),282,98,0,,,,,22,,,,0,67,159,0,14,,,0,794
2017,15,Melbourne (CBD),826,131,,154,,485,0,71,41,65,47,0,188,225,,,411,0,23,2679
2017,16,Melbourne (CBD),199,,0,158,0,228,,74,49,,0,0,20,360,0,16,68,0,,1238
2017,26,Melbourne (CBD),375,,0,,,0,,1048,59,0,0,,30,2246,0,,138,0,,4587
2017,27,Melbourne (CBD),717,223,0,,79,,,1857,87,,,,72,2118,,320,235,0,,5909
2017,31,Melbourne (CBD),196,120,0,,,338,,137,180,,,0,50,249,,0,99,,,2058
2017,34,Melbourne (CBD),216,701,0,,,63,,2994,79,18,44,25,332,1585,,158,175,38,25,6734
2017,44,Melbourne (CBD),191,189,0,,,54,801,1448,57,,16,,135,828,416,42,160,,25,4411
2017,48,Melbourne (CBD),620,,0,24,0,,,56,68,,30,0,132,451,,23,65,,,1637
2017,51,Melbourne (CBD),182,0,0,6,0,163,,,,,,0,131,525,,387,23,,0,2290
2017,53,Melbourne (CBD),326,341,0,0,35,66,,3871,53,,49,0,207,1263,47,65,11,,,6352
2017,72,Melbourne (CBD),242,,0,,,74,0,,,0,,0,31,614,,88,24,0,0,1384
2017,84,Melbourne (CBD),191,,0,0,32,117,,,0,,0,0,117,189,0,17,68,0,,775
2017,91,West Melbourne (Residential),25,155,0,0,,23,,25,30,,,0,22,91,,19,,0,17,468
2017,101,West Melbourne (Residential),,0,0,0,0,,,0,,0,,0,78,0,0,0,0,0,0,133
2017,105,Melbourne (CBD),87,,0,,0,870,0,0,,0,0,0,0,176,,44,26,,0,1262
2017,115,Melbourne (CBD),103,,0,,440,100,0,0,0,,0,0,9,,0,58,78,,0,1070
2017,204,Carlton,34,0,0,0,0,79,0,0,,0,0,0,,0,0,0,0,0,0,116
2017,206,Carlton,124,0,0,,0,0,0,32,,,0,0,21,18,0,,76,0,0,280
2017,207,Carlton,92,0,0,0,0,0,,0,,0,0,0,,0,0,0,71,0,0,174
2017,208,Carlton,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,23
2017,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2017,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
2017,219,Carlton,9,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,43
2017,220,Carlton,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,20
2017,222,Carlton,0,0,0,,0,0,0,0,,0,0,0,0,0,,0,,0,0,26
2017,223,Carlton,7,0,0,0,0,0,0,0,18,0,0,0,7,,0,,,0,0,62
2017,226,Carlton,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2017,230,Carlton,,,0,,0,0,0,0,,0,0,0,4,0,0,0,,0,,33
2017,240,Carlton,28,0,0,0,0,633,0,0,0,0,0,0,0,,0,0,,0,0,683
2017,242,Carlton,,0,0,,0,530,0,,,,0,0,0,56,0,,0,0,0,648
2017,249,Carlton,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2
2017,257,Carlton,58,0,0,0,0,,,0,472,0,0,0,,,0,0,,0,,820
2017,260,Carlton,60,,0,0,,0,0,0,,0,,0,,,0,0,32,0,0,147
2017,263,Carlton,21,0,0,,,,0,0,,0,0,0,348,100,,,23,0,,937
2017,268,Carlton,,,0,,0,0,0,,34,0,0,0,,42,0,,0,0,0,136
2017,270,Parkville,246,59,0,42,0,2703,0,,0,0,0,0,,0,0,0,55,,0,3115
2017,271,Parkville,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,706
2017,272,Parkville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,274,Carlton,,50,0,174,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,237
2017,301,North Melbourne,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,10
2017,303,North Melbourne,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,22
2017,304,North Melbourne,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,
2017,305,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,312,North Melbourne,,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,,44
2017,314,North Melbourne,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,128
2017,315,North Melbourne,0,0,0,195,0,0,,0,0,0,0,0,0,0,0,0,,0,0,196
2017,328,North Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,330,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2017,337,North Melbourne,0,0,0,0,26,0,,0,0,,0,0,,,0,0,41,,31,134
2017,338,North Melbourne,0,0,0,0,,0,0,0,,0,59,0,,0,0,0,0,0,0,86
2017,347,North Melbourne,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12
2017,348,North Melbourne,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2017,350,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,351,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,352,North Melbourne,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2017,353,North Melbourne,25,0,0,0,0,,0,0,135,0,,0,,,0,0,,0,0,187
2017,357,North Melbourne,20,0,0,0,,84,0,,67,0,,0,151,63,0,,,,,456
2017,360,North Melbourne,27,0,0,,0,,0,0,,,0,0,,0,0,0,16,0,,95
2017,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,103
2017,366,North Melbourne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,371,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2017,372,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,373,North Melbourne,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2017,375,North Melbourne,45,,0,0,,0,0,0,35,0,0,0,,36,,0,0,0,,254
2017,376,North Melbourne,,,0,44,0,0,,0,13,0,0,0,11,8,,0,,,0,185
