ActivityType,Response,Year,RespondentGroup,SampleSize,Percentage,AgeRange,Gender,Suburb
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Female,625,45.8,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Male,605,59.3,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Male,582,49.3,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2019,Male,605,70.0,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2019,Female,648,71.1,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Female,648,61.9,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Female,648,10.6,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Male,605,11.3,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Female,648,10.2,,Female,
participate in organised physical activity,"yes, in the last 3 months",2019,Male,605,23.2,,Male,
participate in organised physical activity,"yes, in the last 3 months",2019,Female,648,23.3,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Male,605,10.4,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Male,549,12.2,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2018,Female,687,14.4,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Female,687,9.0,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Male,525,54.1,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Male,549,67.0,,Male,
participate in organised physical activity,"yes, in the last 3 months",2018,Male,549,28.2,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2018,Female,646,50.8,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2018,Male,549,73.3,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2018,Female,687,73.5,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2018,Female,687,67.4,,Female,
participate in organised physical activity,"yes, in the last 3 months",2018,Female,687,29.8,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2018,Male,549,15.1,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Female,664,45.1,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Male,629,8.5,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Male,629,8.4,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2020,Female,701,5.1,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2020,Male,602,50.5,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2020,Male,629,59.0,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Male,629,51.0,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2020,Female,701,50.8,,Female,
participate in organised physical activity,"yes, in the last 3 months",2020,Male,629,19.3,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2020,Female,701,15.0,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2020,Female,701,56.1,,Female,
participate in organised physical activity,"yes, in the last 3 months",2020,Female,701,21.0,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,Female,731,53.3,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2021,Male,621,56.4,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Female,731,7.6,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,Male,621,8.6,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Female,700,42.2,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2021,Female,731,59.3,,Female,
participate in organised physical activity,"yes, in the last 3 months",2021,Male,621,17.8,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2021,Male,621,7.9,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2021,Male,580,53.5,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2021,Male,621,64.0,,Male,
participate in organised physical activity,"yes, in the last 3 months",2021,Female,731,13.1,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2021,Female,731,4.5,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2023,Male,573,64.6,,Male,
